model,temperature,max_completion_tokens,top_p,prompt,seed,no_of_samples,avg_rating,variance,std_dev,timestamp
gpt-4o-mini,0.0,1024,1.0,normal,42,30,4.183,0.146,0.382,20250109-012221
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.483,0.25,0.5,20250109-013331
gpt-4o-mini,1.0,1024,0.0,normal,42,30,4.283,0.201,0.449,20250109-014739
gpt-4o-mini,0.0,1024,1.0,normal,42,30,4.2,0.166,0.407,20250109-012259
gpt-4o-mini,1.0,1024,1.0,lenient,42,30,4.567,0.409,0.64,20250109-024342
gpt-4o-mini,1.0,1024,0.5,normal,42,30,4.233,0.168,0.41,20250109-014920
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.433,0.22,0.469,20250109-022332
gpt-4o-mini,1.0,1024,1.0,strict,42,30,4.217,0.064,0.252,20250109-021346
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.383,0.201,0.449,20250109-014032
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.267,0.185,0.43,20250109-020100
gpt-4o-mini,1.0,1024,0.5,normal,42,30,4.217,0.15,0.387,20250109-014814
gpt-4o-mini,0.5,1024,1.0,normal,42,30,4.267,0.185,0.43,20250109-012903
gpt-4o-mini,1.0,1024,0.5,normal,42,30,4.267,0.185,0.43,20250109-015129
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.433,0.22,0.469,20250109-014225
gpt-4o-mini,0.0,1024,1.0,normal,42,30,4.167,0.144,0.379,20250109-012339
gpt-4o-mini,0.5,1024,1.0,normal,42,30,4.317,0.198,0.445,20250109-013203
gpt-4o-mini,1.0,1024,1.0,strict,42,30,4.15,0.072,0.267,20250109-020555
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.35,0.209,0.458,20250109-022754
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.317,0.164,0.404,20250109-020327
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.333,0.195,0.442,20250109-015826
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.45,0.213,0.461,20250109-015555
gpt-4o-mini,1.0,1024,1.0,lenient,42,30,4.617,0.201,0.449,20250109-023628
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.433,0.22,0.469,20250109-021926
gpt-4o-mini,1.0,1024,1.0,lenient,42,30,4.617,0.201,0.449,20250109-023905
gpt-4o-mini,0.0,1024,1.0,normal,42,30,4.233,0.185,0.43,20250109-012457
gpt-4o-mini,1.0,1024,1.0,strict,42,30,4.25,0.082,0.286,20250109-021121
gpt-4o-mini,1.0,1024,1.0,lenient,42,30,4.617,0.184,0.429,20250109-023337
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.467,0.24,0.49,20250109-022549
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.417,0.26,0.51,20250109-015343
gpt-4o-mini,1.0,1024,1.0,strict,42,30,4.2,0.079,0.282,20250109-021642
gpt-4o-mini,0.5,1024,1.0,normal,42,30,4.333,0.178,0.422,20250109-012727
gpt-4o-mini,0.5,1024,1.0,normal,42,30,4.317,0.181,0.425,20250109-012540
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.417,0.226,0.475,20250109-013820
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.35,0.192,0.438,20250109-022125
gpt-4o-mini,1.0,1024,0.0,normal,42,30,4.333,0.213,0.461,20250109-014658
gpt-4o-mini,1.0,1024,0.5,normal,42,30,4.25,0.168,0.41,20250109-015006
gpt-4o-mini,0.5,1024,1.0,normal,42,30,4.317,0.181,0.425,20250109-013041
gpt-4o-mini,1.0,1024,0.5,normal,42,30,4.25,0.168,0.41,20250109-015236
gpt-4o-mini,1.0,1024,0.0,normal,42,30,4.183,0.146,0.382,20250109-014424
gpt-4o-mini,1.0,1024,1.0,lenient,42,30,4.633,0.171,0.414,20250109-023004
gpt-4o-mini,1.0,1024,0.0,normal,42,30,4.183,0.146,0.382,20250109-014609
gpt-4o-mini,1.0,1024,1.0,strict,42,30,4.25,0.082,0.286,20250109-020837
gpt-4o-mini,1.0,1024,0.0,normal,42,30,4.25,0.168,0.41,20250109-014517
gpt-4o-mini,0.0,1024,1.0,normal,42,30,4.233,0.185,0.43,20250109-012415
gpt-4o-mini,1.0,1024,1.0,normal,42,30,4.383,0.219,0.468,20250109-013540
